date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2023-02-12,SKU0001,1290,1943,13,1816
2023-02-19,SKU0001,1223,2270,13,1816
2023-02-26,SKU0001,1660,3104,13,1816
2023-03-05,SKU0001,1553,3255,13,1816
2023-03-12,SKU0001,1378,959,13,1816
2023-03-19,SKU0001,1136,3256,13,1816
2023-03-26,SKU0001,1771,2469,13,1816
2023-04-02,SKU0001,2206,0,13,1816
2023-04-09,SKU0001,248,964,13,1816
2023-04-16,SKU0001,1588,3090,13,1816
2023-04-23,SKU0001,1078,3174,13,1816
2023-04-30,SKU0001,2325,460,13,1816
2023-05-07,SKU0001,739,2512,13,1816
2023-05-14,SKU0001,236,1986,13,1816
2023-05-21,SKU0001,301,1832,13,1816
2023-05-28,SKU0001,1249,1365,13,1816
2023-06-04,SKU0001,1622,1218,13,1816
2023-06-11,SKU0001,845,3375,13,1816
2023-06-18,SKU0001,1674,2889,13,1816
2023-06-25,SKU0001,410,3128,13,1816
2023-07-02,SKU0001,1288,1306,13,1816
2023-07-09,SKU0001,569,2548,13,1816
2023-07-16,SKU0001,1324,2693,13,1816
2023-07-23,SKU0001,1293,3013,13,1816
2023-07-30,SKU0001,970,2963,13,1816
2023-08-06,SKU0001,1786,2130,13,1816
2023-08-13,SKU0001,3471,0,13,1816
2023-08-20,SKU0001,1481,2609,13,1816
2023-08-27,SKU0001,3182,0,13,1816
2023-09-03,SKU0001,768,1094,13,1816
2023-09-10,SKU0001,2495,0,13,1816
2023-09-17,SKU0001,2949,276,13,1816
2023-09-24,SKU0001,0,2139,13,1816
2023-10-01,SKU0001,1008,3173,13,1816
2023-10-08,SKU0001,2053,0,13,1816
2023-10-15,SKU0001,2534,0,13,1816
2023-10-22,SKU0001,2658,0,13,1816
2023-10-29,SKU0001,1691,3064,13,1816
2023-11-05,SKU0001,3054,0,13,1816
2023-11-12,SKU0001,2603,0,13,1816
2023-11-19,SKU0001,3147,0,13,1816
2023-11-26,SKU0001,1991,56,13,1816
2023-12-03,SKU0001,3306,0,13,1816
2023-12-10,SKU0001,2093,0,13,1816
2023-12-17,SKU0001,1370,1582,13,1816
2023-12-24,SKU0001,1735,2104,13,1816
2023-12-31,SKU0001,2711,203,13,1816
2024-01-07,SKU0001,1439,2021,13,1816
2024-01-14,SKU0001,2110,0,13,1816
2024-01-21,SKU0001,4866,0,13,1816
2024-01-28,SKU0001,2077,369,13,1816
2024-02-04,SKU0001,1345,2879,13,1816
2024-02-11,SKU0001,3171,0,13,1816
2024-02-18,SKU0001,1876,0,13,1816
2024-02-25,SKU0001,121,1293,13,1816
2024-03-03,SKU0001,778,3544,13,1816
2024-03-10,SKU0001,254,1975,13,1816
2024-03-17,SKU0001,1437,3463,13,1816
2024-03-24,SKU0001,1419,1934,13,1816
2024-03-31,SKU0001,3411,0,13,1816
2024-04-07,SKU0001,1843,0,13,1816
2024-04-14,SKU0001,1499,2775,13,1816
2024-04-21,SKU0001,2022,0,13,1816
2024-04-28,SKU0001,0,1893,13,1816
2024-05-05,SKU0001,1384,1399,13,1816
2024-05-12,SKU0001,1508,3489,13,1816
2024-05-19,SKU0001,435,1525,13,1816
2024-05-26,SKU0001,1591,1118,13,1816
2024-06-02,SKU0001,2044,419,13,1816
2024-06-09,SKU0001,1424,3315,13,1816
2024-06-16,SKU0001,1285,1825,13,1816
2024-06-23,SKU0001,3464,205,13,1816
2024-06-30,SKU0001,1208,3172,13,1816
2024-07-07,SKU0001,2121,0,13,1816
2024-07-14,SKU0001,988,2100,13,1816
2024-07-21,SKU0001,923,2750,13,1816
2024-07-28,SKU0001,1838,0,13,1816
2024-08-04,SKU0001,960,2947,13,1816
2024-08-11,SKU0001,1845,0,13,1816
2024-08-18,SKU0001,1259,3110,13,1816
2024-08-25,SKU0001,2210,0,13,1816
2024-09-01,SKU0001,2195,0,13,1816
2024-09-08,SKU0001,4078,0,13,1816
2024-09-15,SKU0001,1364,1948,13,1816
2024-09-22,SKU0001,1861,0,13,1816
2024-09-29,SKU0001,1389,3090,13,1816
2024-10-06,SKU0001,1364,1589,13,1816
2024-10-13,SKU0001,2902,0,13,1816
2024-10-20,SKU0001,3158,460,13,1816
2024-10-27,SKU0001,1606,1684,13,1816
2024-11-03,SKU0001,3824,493,13,1816
2024-11-10,SKU0001,2886,0,13,1816
2024-11-17,SKU0001,3589,245,13,1816
2024-11-24,SKU0001,3896,29,13,1816
2024-12-01,SKU0001,1457,1550,13,1816
2024-12-08,SKU0001,1284,1929,13,1816
2024-12-15,SKU0001,281,3443,13,1816
2024-12-22,SKU0001,4679,0,13,1816
2024-12-29,SKU0001,3512,156,13,1816
2022-01-02,SKU0002,1054,673,10,1089
2022-01-09,SKU0002,1502,0,10,1089
2022-01-16,SKU0002,897,1732,10,1089
2022-01-23,SKU0002,3279,94,10,1089
2022-01-30,SKU0002,1470,137,10,1089
2022-02-06,SKU0002,2109,0,10,1089
2022-02-13,SKU0002,1621,0,10,1089
2022-02-20,SKU0002,2150,168,10,1089
2022-02-27,SKU0002,1525,140,10,1089
2022-03-06,SKU0002,1250,136,10,1089
2022-03-13,SKU0002,2272,318,10,1089
2022-03-20,SKU0002,2162,0,10,1089
2022-03-27,SKU0002,2674,0,10,1089
2022-04-03,SKU0002,2888,0,10,1089
2022-04-10,SKU0002,1308,0,10,1089
2022-04-17,SKU0002,1327,5,10,1089
2022-04-24,SKU0002,1909,0,10,1089
2022-05-01,SKU0002,1902,0,10,1089
2022-05-08,SKU0002,2752,0,10,1089
2022-05-15,SKU0002,440,616,10,1089
2022-05-22,SKU0002,2697,0,10,1089
2022-05-29,SKU0002,1179,0,10,1089
2022-06-05,SKU0002,1212,0,10,1089
2022-06-12,SKU0002,958,1870,10,1089
2022-06-19,SKU0002,344,1812,10,1089
2022-06-26,SKU0002,1953,14,10,1089
2022-07-03,SKU0002,1150,304,10,1089
2022-07-10,SKU0002,667,2160,10,1089
2022-07-17,SKU0002,676,958,10,1089
2022-07-24,SKU0002,1409,116,10,1089
2022-07-31,SKU0002,2790,0,10,1089
2022-08-07,SKU0002,1047,747,10,1089
2022-08-14,SKU0002,463,1997,10,1089
2022-08-21,SKU0002,1379,0,10,1089
2022-08-28,SKU0002,1083,2135,10,1089
2022-09-04,SKU0002,0,1357,10,1089
2022-09-11,SKU0002,1619,0,10,1089
2022-09-18,SKU0002,1403,0,10,1089
2022-09-25,SKU0002,1192,0,10,1089
2022-10-02,SKU0002,2814,0,10,1089
2022-10-09,SKU0002,1697,215,10,1089
2022-10-16,SKU0002,1022,1528,10,1089
2022-10-23,SKU0002,686,1671,10,1089
2022-10-30,SKU0002,2439,284,10,1089
2022-11-06,SKU0002,1290,0,10,1089
2022-11-13,SKU0002,1194,0,10,1089
2022-11-20,SKU0002,1796,208,10,1089
2022-11-27,SKU0002,1372,0,10,1089
2022-12-04,SKU0002,1584,0,10,1089
2022-12-11,SKU0002,876,1536,10,1089
2022-12-18,SKU0002,1386,21,10,1089
2022-12-25,SKU0002,1759,0,10,1089
2023-01-01,SKU0002,1154,0,10,1089
2023-01-08,SKU0002,1220,0,10,1089
2023-01-15,SKU0002,2183,0,10,1089
2023-01-22,SKU0002,1695,0,10,1089
2023-01-29,SKU0002,2651,0,10,1089
2023-02-05,SKU0002,0,952,10,1089
2023-02-12,SKU0002,1812,0,10,1089
2023-02-19,SKU0002,2546,0,10,1089
2023-02-26,SKU0002,267,972,10,1089
2023-03-05,SKU0002,1240,0,10,1089
2023-03-12,SKU0002,1937,299,10,1089
2023-03-19,SKU0002,724,744,10,1089
2023-03-26,SKU0002,1446,0,10,1089
2023-04-02,SKU0002,1166,0,10,1089
2023-04-09,SKU0002,2101,0,10,1089
2023-04-16,SKU0002,2871,0,10,1089
2023-04-23,SKU0002,2304,177,10,1089
2023-04-30,SKU0002,2756,0,10,1089
2023-05-07,SKU0002,989,2059,10,1089
2023-05-14,SKU0002,1381,0,10,1089
2023-05-21,SKU0002,1943,65,10,1089
2023-05-28,SKU0002,611,1835,10,1089
2023-06-04,SKU0002,1328,0,10,1089
2023-06-11,SKU0002,1237,0,10,1089
2023-06-18,SKU0002,1317,0,10,1089
2023-06-25,SKU0002,1405,0,10,1089
2023-07-02,SKU0002,2200,0,10,1089
2023-07-09,SKU0002,1211,0,10,1089
2023-07-16,SKU0002,2503,317,10,1089
2023-07-23,SKU0002,853,1279,10,1089
2023-07-30,SKU0002,1959,0,10,1089
2023-08-06,SKU0002,2052,0,10,1089
2023-08-13,SKU0002,1259,315,10,1089
2023-08-20,SKU0002,1428,0,10,1089
2023-08-27,SKU0002,453,747,10,1089
2023-09-03,SKU0002,1367,105,10,1089
2023-09-10,SKU0002,1359,0,10,1089
2023-09-17,SKU0002,1313,0,10,1089
2023-09-24,SKU0002,2269,207,10,1089
2023-10-01,SKU0002,971,748,10,1089
2023-10-08,SKU0002,486,1415,10,1089
2023-10-15,SKU0002,480,819,10,1089
2023-10-22,SKU0002,2130,215,10,1089
2023-10-29,SKU0002,721,1532,10,1089
2023-11-05,SKU0002,2947,0,10,1089
2023-11-12,SKU0002,253,590,10,1089
2023-11-19,SKU0002,1649,0,10,1089
2023-11-26,SKU0002,1595,0,10,1089
2023-12-03,SKU0002,1701,0,10,1089
2023-12-10,SKU0002,1277,0,10,1089
2023-12-17,SKU0002,1897,312,10,1089
2023-12-24,SKU0002,1463,0,10,1089
2023-12-31,SKU0002,2451,23,10,1089
2024-01-07,SKU0002,1190,0,10,1089
2024-01-14,SKU0002,1691,198,10,1089
2024-01-21,SKU0002,1199,0,10,1089
2024-01-28,SKU0002,1818,0,10,1089
2024-02-04,SKU0002,2503,121,10,1089
2024-02-11,SKU0002,528,1065,10,1089
2024-02-18,SKU0002,740,981,10,1089
2024-02-25,SKU0002,1831,94,10,1089
2024-03-03,SKU0002,1694,0,10,1089
2024-03-10,SKU0002,1321,0,10,1089
2024-03-17,SKU0002,1337,0,10,1089
2024-03-24,SKU0002,2062,0,10,1089
2024-03-31,SKU0002,1572,0,10,1089
2024-04-07,SKU0002,1162,0,10,1089
2024-04-14,SKU0002,1590,308,10,1089
2024-04-21,SKU0002,1016,2123,10,1089
2024-04-28,SKU0002,1595,0,10,1089
2024-05-05,SKU0002,342,1352,10,1089
2024-05-12,SKU0002,2870,0,10,1089
2024-05-19,SKU0002,1883,0,10,1089
2024-05-26,SKU0002,2190,0,10,1089
2024-06-02,SKU0002,2645,0,10,1089
2024-06-09,SKU0002,2972,0,10,1089
2024-06-16,SKU0002,1986,0,10,1089
2024-06-23,SKU0002,296,1448,10,1089
2024-06-30,SKU0002,513,1368,10,1089
2024-07-07,SKU0002,1223,323,10,1089
2024-07-14,SKU0002,1582,318,10,1089
2024-07-21,SKU0002,1573,0,10,1089
2024-07-28,SKU0002,877,2078,10,1089
2024-08-04,SKU0002,1661,166,10,1089
2024-08-11,SKU0002,911,618,10,1089
2024-08-18,SKU0002,750,1088,10,1089
2024-08-25,SKU0002,550,1290,10,1089
2024-09-01,SKU0002,860,1386,10,1089
2024-09-08,SKU0002,511,1545,10,1089
2024-09-15,SKU0002,601,2162,10,1089
2024-09-22,SKU0002,2141,109,10,1089
2024-09-29,SKU0002,962,1414,10,1089
2024-10-06,SKU0002,3120,266,10,1089
2024-10-13,SKU0002,1446,0,10,1089
2024-10-20,SKU0002,1873,0,10,1089
2024-10-27,SKU0002,1025,1729,10,1089
2024-11-03,SKU0002,2022,155,10,1089
2024-11-10,SKU0002,1401,0,10,1089
2024-11-17,SKU0002,1737,0,10,1089
2024-11-24,SKU0002,3281,0,10,1089
2024-12-01,SKU0002,1127,0,10,1089
2024-12-08,SKU0002,2386,0,10,1089
2024-12-15,SKU0002,819,1656,10,1089
2024-12-22,SKU0002,1019,2093,10,1089
2024-12-29,SKU0002,1918,102,10,1089
2022-01-02,SKU0003,988,36,29,878
2022-01-09,SKU0003,1605,0,29,878
2022-01-16,SKU0003,1637,0,29,878
2022-01-23,SKU0003,774,667,29,878
2022-01-30,SKU0003,1839,0,29,878
2022-02-06,SKU0003,1410,0,29,878
2022-02-13,SKU0003,1609,0,29,878
2022-02-20,SKU0003,455,1242,29,878
2022-02-27,SKU0003,626,763,29,878
2022-03-06,SKU0003,973,256,29,878
2022-03-13,SKU0003,874,819,29,878
2022-03-20,SKU0003,1051,0,29,878
2022-03-27,SKU0003,981,0,29,878
2022-04-03,SKU0003,551,1486,29,878
2022-04-10,SKU0003,919,178,29,878
2022-04-17,SKU0003,1077,0,29,878
2022-04-24,SKU0003,1396,0,29,878
2022-05-01,SKU0003,1443,75,29,878
2022-05-08,SKU0003,1275,0,29,878
2022-05-15,SKU0003,951,126,29,878
2022-05-22,SKU0003,648,1148,29,878
2022-05-29,SKU0003,347,1355,29,878
2022-06-05,SKU0003,674,1249,29,878
2022-06-12,SKU0003,868,758,29,878
2022-06-19,SKU0003,935,0,29,878
2022-06-26,SKU0003,396,508,29,878
2022-07-03,SKU0003,384,1383,29,878
2022-07-10,SKU0003,764,1454,29,878
2022-07-17,SKU0003,480,1163,29,878
2022-07-24,SKU0003,1197,0,29,878
2022-07-31,SKU0003,951,0,29,878
2022-08-07,SKU0003,754,701,29,878
2022-08-14,SKU0003,1369,0,29,878
2022-08-21,SKU0003,655,1634,29,878
2022-08-28,SKU0003,571,1195,29,878
2022-09-04,SKU0003,692,1391,29,878
2022-09-11,SKU0003,885,0,29,878
2022-09-18,SKU0003,570,1600,29,878
2022-09-25,SKU0003,712,1650,29,878
2022-10-02,SKU0003,1005,0,29,878
2022-10-09,SKU0003,1413,0,29,878
2022-10-16,SKU0003,780,1658,29,878
2022-10-23,SKU0003,1084,149,29,878
2022-10-30,SKU0003,568,1733,29,878
2022-11-06,SKU0003,1419,0,29,878
2022-11-13,SKU0003,1158,0,29,878
2022-11-20,SKU0003,1913,0,29,878
2022-11-27,SKU0003,403,692,29,878
2022-12-04,SKU0003,920,120,29,878
2022-12-11,SKU0003,1278,194,29,878
2022-12-18,SKU0003,1381,0,29,878
2022-12-25,SKU0003,1880,225,29,878
2023-01-01,SKU0003,1145,0,29,878
2023-01-08,SKU0003,1824,176,29,878
2023-01-15,SKU0003,1754,85,29,878
2023-01-22,SKU0003,813,782,29,878
2023-01-29,SKU0003,773,1431,29,878
2023-02-05,SKU0003,2321,0,29,878
2023-02-12,SKU0003,2112,172,29,878
2023-02-19,SKU0003,994,31,29,878
2023-02-26,SKU0003,808,972,29,878
2023-03-05,SKU0003,924,0,29,878
2023-03-12,SKU0003,536,848,29,878
2023-03-19,SKU0003,486,1645,29,878
2023-03-26,SKU0003,532,1248,29,878
2023-04-02,SKU0003,524,614,29,878
2023-04-09,SKU0003,711,1423,29,878
2023-04-16,SKU0003,1100,0,29,878
2023-04-23,SKU0003,1580,0,29,878
2023-04-30,SKU0003,570,1313,29,878
2023-05-07,SKU0003,948,198,29,878
2023-05-14,SKU0003,950,117,29,878
2023-05-21,SKU0003,927,148,29,878
2023-05-28,SKU0003,752,1160,29,878
2023-06-04,SKU0003,412,1193,29,878
2023-06-11,SKU0003,670,871,29,878
2023-06-18,SKU0003,819,592,29,878
2023-06-25,SKU0003,730,1207,29,878
2023-07-02,SKU0003,592,1111,29,878
2023-07-09,SKU0003,1757,0,29,878
2023-07-16,SKU0003,544,1040,29,878
2023-07-23,SKU0003,402,1047,29,878
2023-07-30,SKU0003,655,1391,29,878
2023-08-06,SKU0003,545,1514,29,878
2023-08-13,SKU0003,652,1200,29,878
2023-08-20,SKU0003,782,892,29,878
2023-08-27,SKU0003,847,1748,29,878
2023-09-03,SKU0003,825,529,29,878
2023-09-10,SKU0003,710,480,29,878
2023-09-17,SKU0003,933,0,29,878
2023-09-24,SKU0003,760,1727,29,878
2023-10-01,SKU0003,1294,0,29,878
2023-10-08,SKU0003,1349,0,29,878
2023-10-15,SKU0003,447,1633,29,878
2023-10-22,SKU0003,1402,0,29,878
2023-10-29,SKU0003,1799,0,29,878
2023-11-05,SKU0003,862,897,29,878
2023-11-12,SKU0003,689,1146,29,878
2023-11-19,SKU0003,1186,0,29,878
2023-11-26,SKU0003,965,5,29,878
2023-12-03,SKU0003,1228,0,29,878
2023-12-10,SKU0003,2095,0,29,878
2023-12-17,SKU0003,1262,91,29,878
2023-12-24,SKU0003,642,1673,29,878
2023-12-31,SKU0003,564,587,29,878
2024-01-07,SKU0003,972,0,29,878
2024-01-14,SKU0003,1332,0,29,878
2024-01-21,SKU0003,1344,26,29,878
2024-01-28,SKU0003,624,1226,29,878
2024-02-04,SKU0003,1386,195,29,878
2024-02-11,SKU0003,1039,57,29,878
2024-02-18,SKU0003,2063,132,29,878
2024-02-25,SKU0003,1951,0,29,878
2024-03-03,SKU0003,943,0,29,878
2024-03-10,SKU0003,889,0,29,878
2024-03-17,SKU0003,1308,0,29,878
2024-03-24,SKU0003,1015,0,29,878
2024-03-31,SKU0003,1487,0,29,878
2024-04-07,SKU0003,821,1688,29,878
2024-04-14,SKU0003,1003,0,29,878
2024-04-21,SKU0003,1261,0,29,878
2024-04-28,SKU0003,1357,0,29,878
2024-05-05,SKU0003,1439,0,29,878
2024-05-12,SKU0003,1197,0,29,878
2024-05-19,SKU0003,1128,99,29,878
2024-05-26,SKU0003,1438,0,29,878
2024-06-02,SKU0003,1458,0,29,878
2024-06-09,SKU0003,1089,0,29,878
2024-06-16,SKU0003,900,0,29,878
2024-06-23,SKU0003,1052,0,29,878
2024-06-30,SKU0003,853,758,29,878
2024-07-07,SKU0003,390,1290,29,878
2024-07-14,SKU0003,1074,0,29,878
2024-07-21,SKU0003,445,1393,29,878
2024-07-28,SKU0003,585,792,29,878
2024-08-04,SKU0003,1284,0,29,878
2024-08-11,SKU0003,1018,200,29,878
2024-08-18,SKU0003,886,0,29,878
2024-08-25,SKU0003,333,1584,29,878
2024-09-01,SKU0003,965,0,29,878
2024-09-08,SKU0003,712,1673,29,878
2024-09-15,SKU0003,2050,263,29,878
2024-09-22,SKU0003,718,758,29,878
2024-09-29,SKU0003,971,241,29,878
2024-10-06,SKU0003,1069,0,29,878
2024-10-13,SKU0003,1418,0,29,878
2024-10-20,SKU0003,817,783,29,878
2024-10-27,SKU0003,1053,0,29,878
2024-11-03,SKU0003,952,0,29,878
2024-11-10,SKU0003,1099,0,29,878
2024-11-17,SKU0003,1088,0,29,878
2024-11-24,SKU0003,1060,0,29,878
2024-12-01,SKU0003,1309,68,29,878
2024-12-08,SKU0003,840,1201,29,878
2024-12-15,SKU0003,1115,86,29,878
2024-12-22,SKU0003,736,1536,29,878
2024-12-29,SKU0003,1663,0,29,878
2022-01-02,SKU0004,1074,2262,13,1415
2022-01-09,SKU0004,1454,232,13,1415
2022-01-16,SKU0004,1664,0,13,1415
2022-01-23,SKU0004,3632,0,13,1415
2022-01-30,SKU0004,1904,0,13,1415
2022-02-06,SKU0004,1281,2443,13,1415
2022-02-13,SKU0004,2249,58,13,1415
2022-02-20,SKU0004,1376,851,13,1415
2022-02-27,SKU0004,633,1171,13,1415
2022-03-06,SKU0004,2386,270,13,1415
2022-03-13,SKU0004,2431,0,13,1415
2022-03-20,SKU0004,1737,225,13,1415
2022-03-27,SKU0004,2466,306,13,1415
2022-04-03,SKU0004,2312,213,13,1415
2022-04-10,SKU0004,2019,0,13,1415
2022-04-17,SKU0004,1764,389,13,1415
2022-04-24,SKU0004,2669,263,13,1415
2022-05-01,SKU0004,1881,0,13,1415
2022-05-08,SKU0004,2221,407,13,1415
2022-05-15,SKU0004,2807,295,13,1415
2022-05-22,SKU0004,1163,2465,13,1415
2022-05-29,SKU0004,793,2812,13,1415
2022-06-05,SKU0004,1446,172,13,1415
2022-06-12,SKU0004,1475,0,13,1415
2022-06-19,SKU0004,1895,0,13,1415
2022-06-26,SKU0004,1095,2501,13,1415
2022-07-03,SKU0004,1619,0,13,1415
2022-07-10,SKU0004,1158,2774,13,1415
2022-07-17,SKU0004,2379,0,13,1415
2022-07-24,SKU0004,1077,2620,13,1415
2022-07-31,SKU0004,1987,0,13,1415
2022-08-07,SKU0004,1056,2669,13,1415
2022-08-14,SKU0004,1440,230,13,1415
2022-08-21,SKU0004,1457,361,13,1415
2022-08-28,SKU0004,866,1147,13,1415
2022-09-04,SKU0004,955,2449,13,1415
2022-09-11,SKU0004,1766,0,13,1415
2022-09-18,SKU0004,971,1904,13,1415
2022-09-25,SKU0004,1328,2510,13,1415
2022-10-02,SKU0004,1241,1854,13,1415
2022-10-09,SKU0004,1470,0,13,1415
2022-10-16,SKU0004,1104,2170,13,1415
2022-10-23,SKU0004,1227,2289,13,1415
2022-10-30,SKU0004,1010,914,13,1415
2022-11-06,SKU0004,666,868,13,1415
2022-11-13,SKU0004,1490,0,13,1415
2022-11-20,SKU0004,1160,2764,13,1415
2022-11-27,SKU0004,1466,0,13,1415
2022-12-04,SKU0004,1584,0,13,1415
2022-12-11,SKU0004,1167,1881,13,1415
2022-12-18,SKU0004,710,1101,13,1415
2022-12-25,SKU0004,1504,0,13,1415
2023-01-01,SKU0004,740,1334,13,1415
2023-01-08,SKU0004,889,863,13,1415
2023-01-15,SKU0004,1953,0,13,1415
2023-01-22,SKU0004,2764,165,13,1415
2023-01-29,SKU0004,1935,400,13,1415
2023-02-05,SKU0004,1491,0,13,1415
2023-02-12,SKU0004,1533,182,13,1415
2023-02-19,SKU0004,2193,0,13,1415
2023-02-26,SKU0004,1056,897,13,1415
2023-03-05,SKU0004,3216,0,13,1415
2023-03-12,SKU0004,3240,0,13,1415
2023-03-19,SKU0004,1388,1585,13,1415
2023-03-26,SKU0004,2618,0,13,1415
2023-04-02,SKU0004,2326,0,13,1415
2023-04-09,SKU0004,760,1813,13,1415
2023-04-16,SKU0004,2213,114,13,1415
2023-04-23,SKU0004,1450,70,13,1415
2023-04-30,SKU0004,1299,1343,13,1415
2023-05-07,SKU0004,2091,0,13,1415
2023-05-14,SKU0004,3707,0,13,1415
2023-05-21,SKU0004,2241,0,13,1415
2023-05-28,SKU0004,1561,2,13,1415
2023-06-04,SKU0004,1754,0,13,1415
2023-06-11,SKU0004,2077,0,13,1415
2023-06-18,SKU0004,1962,0,13,1415
2023-06-25,SKU0004,2010,0,13,1415
2023-07-02,SKU0004,1173,1345,13,1415
2023-07-09,SKU0004,1716,0,13,1415
2023-07-16,SKU0004,1471,169,13,1415
2023-07-23,SKU0004,1476,0,13,1415
2023-07-30,SKU0004,1722,0,13,1415
2023-08-06,SKU0004,1746,0,13,1415
2023-08-13,SKU0004,827,2375,13,1415
2023-08-20,SKU0004,1414,2685,13,1415
2023-08-27,SKU0004,960,2824,13,1415
2023-09-03,SKU0004,1317,2336,13,1415
2023-09-10,SKU0004,588,2251,13,1415
2023-09-17,SKU0004,2040,338,13,1415
2023-09-24,SKU0004,1369,854,13,1415
2023-10-01,SKU0004,1149,2394,13,1415
2023-10-08,SKU0004,1099,1002,13,1415
2023-10-15,SKU0004,901,1243,13,1415
2023-10-22,SKU0004,979,1605,13,1415
2023-10-29,SKU0004,1197,1660,13,1415
2023-11-05,SKU0004,1205,1943,13,1415
2023-11-12,SKU0004,1366,2667,13,1415
2023-11-19,SKU0004,2672,0,13,1415
2023-11-26,SKU0004,1375,2762,13,1415
2023-12-03,SKU0004,2069,0,13,1415
2023-12-10,SKU0004,1747,0,13,1415
2023-12-17,SKU0004,1243,1234,13,1415
2023-12-24,SKU0004,2112,260,13,1415
2023-12-31,SKU0004,1214,2076,13,1415
2024-01-07,SKU0004,1946,0,13,1415
2024-01-14,SKU0004,910,2397,13,1415
2024-01-21,SKU0004,1563,94,13,1415
2024-01-28,SKU0004,2622,0,13,1415
2024-02-04,SKU0004,2061,158,13,1415
2024-02-11,SKU0004,2963,0,13,1415
2024-02-18,SKU0004,1573,423,13,1415
2024-02-25,SKU0004,1242,1334,13,1415
2024-03-03,SKU0004,2979,352,13,1415
2024-03-10,SKU0004,3260,0,13,1415
2024-03-17,SKU0004,2877,0,13,1415
2024-03-24,SKU0004,1939,0,13,1415
2024-03-31,SKU0004,2082,0,13,1415
2024-04-07,SKU0004,2026,18,13,1415
2024-04-14,SKU0004,2297,145,13,1415
2024-04-21,SKU0004,1947,0,13,1415
2024-04-28,SKU0004,3213,0,13,1415
2024-05-05,SKU0004,1086,1878,13,1415
2024-05-12,SKU0004,2387,0,13,1415
2024-05-19,SKU0004,2572,0,13,1415
2024-05-26,SKU0004,1714,279,13,1415
2024-06-02,SKU0004,1679,0,13,1415
2024-06-09,SKU0004,2322,0,13,1415
2024-06-16,SKU0004,1662,91,13,1415
2024-06-23,SKU0004,1175,2201,13,1415
2024-06-30,SKU0004,1585,0,13,1415
2024-07-07,SKU0004,1602,0,13,1415
2024-07-14,SKU0004,1623,48,13,1415
2024-07-21,SKU0004,1724,0,13,1415
2024-07-28,SKU0004,1581,0,13,1415
2024-08-04,SKU0004,1279,1540,13,1415
2024-08-11,SKU0004,177,1454,13,1415
2024-08-18,SKU0004,1459,285,13,1415
2024-08-25,SKU0004,707,2657,13,1415
2024-09-01,SKU0004,1014,2134,13,1415
