sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,unit_cost,list_price,category,subcategory,forecast_demand_28d,forecast_weekly_avg,stockout_risk_score,stockout_risk_level,stockout_days,stockout_action,stockout_shortfall,stockout_shortfall_pct,overstock_risk_score,overstock_risk_level,weeks_of_inventory,overstock_action,excess_weeks,lead_time_demand,safety_stock,total_required,reorder_quantity,units_at_risk,revenue_at_risk,excess_units,capital_locked,estimated_markdown_loss,service_level,fill_rate,recommendation,risk_quadrant
SKU0014,676.0,44.0,12.0,282.0,412.27,643.33,Lighting,Floor Lamps,820.1999999999999,205.04999999999998,43.32,Medium,23.1,Plan Reorder,100.0,12.2,16.48,Low,3.3,Monitor,0.0,352.0,70.0,422.0,0.0,100.0,64461.67,0.0,0.0,0.0,83.4,87.8,Plan Reorder,REORDER NOW
SKU0015,619.0,0.0,4.0,540.0,3888.07,8782.39,Decor,Wall Art,1298.0,324.5,90.46,Critical,13.4,URGENT REORDER,679.0,52.3,9.54,Low,1.9,Monitor,0.0,185.0,37.0,223.0,0.0,679.0,5963242.81,0.0,0.0,0.0,45.3,47.7,URGENT REORDER,REORDER NOW
SKU0017,501.0,113.0,7.0,481.0,4396.4,8588.48,Bath,Robes,450.79999999999995,112.69999999999999,0.0,Low,31.1,Monitor,0.0,0.0,24.45,Low,4.4,Monitor,0.4,113.0,23.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,100.0,Maintain Current Level,HEALTHY
SKU0018,1025.0,0.0,10.0,469.0,390.1,680.51,Kitchen,Tableware,1387.0,346.75,64.15,Medium,20.7,Plan Reorder,362.0,26.1,14.78,Low,3.0,Monitor,0.0,495.0,99.0,594.0,0.0,362.0,246344.62,0.0,0.0,0.0,70.2,73.9,Plan Reorder,REORDER NOW
SKU0019,767.0,0.0,9.0,519.0,1394.61,2446.02,Kitchen,Utensils,341.9,85.475,0.0,Low,62.8,Monitor,0.0,0.0,64.87,High,9.0,Consider Markdown,1.0,110.0,22.0,132.0,0.0,0.0,0.0,83.0,116031.55,34809.47,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0020,2657.0,4149.0,20.0,2861.0,7164.68,12954.0,Rugs,Doormats,1229.8999999999999,307.47499999999997,0.0,Low,60.5,Monitor,0.0,0.0,63.21,High,8.6,Consider Markdown,0.6,878.0,176.0,1054.0,0.0,0.0,0.0,197.0,1412874.9,423862.47,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0021,560.0,1560.0,12.0,970.0,4041.05,8104.13,Decor,Clocks,717.95,179.4875,0.0,Low,21.8,Monitor,0.0,0.0,15.6,Low,3.1,Monitor,0.0,308.0,62.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Maintain Current Level,HEALTHY
SKU0024,1814.0,0.0,12.0,1379.0,292.72,500.98,Bedding,Comforters,98.2,24.55,0.0,Low,517.2,Monitor,0.0,0.0,100.0,Critical,73.9,URGENT - Markdown Required,61.9,42.0,8.0,51.0,0.0,0.0,0.0,1618.0,473503.87,142051.16,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0025,1009.0,0.0,28.0,653.0,529.22,1043.42,Furniture,Bookshelves,49.699999999999996,12.424999999999999,0.0,Low,568.5,Monitor,0.0,0.0,100.0,Critical,81.2,URGENT - Markdown Required,69.2,50.0,10.0,60.0,0.0,0.0,0.0,910.0,481378.51,144413.55,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0029,56.0,0.0,5.0,42.0,370.83,578.34,Bedding,Mattress Toppers,731.2,182.8,98.47,Critical,2.1,URGENT REORDER,675.0,92.3,1.53,Low,0.3,Monitor,0.0,131.0,26.0,157.0,110.0,675.0,390495.17,0.0,0.0,0.0,7.3,7.7,URGENT REORDER,REORDER NOW
SKU0030,946.0,792.0,12.0,1075.0,681.51,1151.66,Lighting,String Lights,3178.3999999999996,794.5999999999999,85.32,High,8.3,Reorder Now,1440.0,45.3,5.95,Low,1.2,Monitor,0.0,1362.0,272.0,1635.0,0.0,1440.0,1658851.06,0.0,0.0,0.0,51.9,54.7,Reorder Now,REORDER NOW
SKU0031,2582.0,0.0,16.0,1258.0,3380.69,6606.38,Lighting,Floor Lamps,444.5,111.125,0.0,Low,162.6,Monitor,0.0,0.0,100.0,Critical,23.2,URGENT - Markdown Required,11.2,254.0,51.0,305.0,0.0,0.0,0.0,1693.0,5723508.17,1717052.45,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0032,860.0,0.0,12.0,666.0,457.44,797.71,Decor,Lighting,1454.1499999999999,363.53749999999997,80.86,High,16.6,Reorder Now,594.0,40.9,11.83,Low,2.4,Monitor,0.0,623.0,125.0,748.0,0.0,594.0,473959.4,0.0,0.0,0.0,56.2,59.1,Reorder Now,REORDER NOW
SKU0033,501.0,0.0,6.0,493.0,1503.47,2534.39,Decor,Clocks,763.1999999999999,190.79999999999998,74.36,High,18.4,Reorder Now,262.0,34.4,13.13,Low,2.6,Monitor,0.0,164.0,33.0,196.0,0.0,262.0,664517.06,0.0,0.0,0.0,62.4,65.6,Reorder Now,REORDER NOW
SKU0034,307.0,638.0,7.0,569.0,864.5,1546.75,Kitchen,Tableware,344.05,86.0125,0.0,Low,25.0,Monitor,0.0,0.0,17.85,Low,3.6,Monitor,0.0,86.0,17.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Maintain Current Level,HEALTHY
SKU0037,3013.0,0.0,22.0,2393.0,161.9,238.97,Furniture,Storage Units,589.6500000000001,147.41250000000002,0.0,Low,143.1,Monitor,0.0,0.0,100.0,Critical,20.4,URGENT - Markdown Required,8.4,463.0,93.0,556.0,0.0,0.0,0.0,1834.0,296876.03,89062.81,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0038,281.0,0.0,26.0,209.0,175.35,263.0,Rugs,Area Rugs,1119.25,279.8125,94.98,Critical,7.0,URGENT REORDER,838.0,74.9,5.02,Low,1.0,Monitor,0.0,1039.0,208.0,1247.0,970.0,838.0,220459.75,0.0,0.0,0.0,23.9,25.1,URGENT REORDER,REORDER NOW
SKU0039,427.0,905.0,6.0,591.0,72.76,130.96,Decor,Mirrors,474.75,118.6875,0.0,Low,25.2,Monitor,0.0,0.0,17.99,Low,3.6,Monitor,0.0,102.0,20.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Maintain Current Level,HEALTHY
SKU0040,211.0,18.0,21.0,158.0,232.89,370.88,Furniture,Sofas,213.25,53.3125,0.0,Low,27.7,Monitor,0.0,0.0,19.79,Low,4.0,Monitor,0.0,160.0,32.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,95.4,100.0,Maintain Current Level,HEALTHY
SKU0042,4237.0,623.0,28.0,2800.0,7743.91,19334.95,Rugs,Runner Rugs,1348.25,337.0625,0.0,Low,88.0,Monitor,0.0,0.0,81.43,Critical,12.6,URGENT - Markdown Required,0.6,1348.0,270.0,1618.0,0.0,0.0,0.0,1540.0,11929493.36,3578848.01,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0045,0.0,1825.0,21.0,2115.0,433.1,618.22,Kitchen,Cookware,1713.8999999999999,428.47499999999997,0.0,Low,0.0,Monitor,0.0,0.0,0.0,Low,0.0,Monitor,0.0,1285.0,257.0,1543.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3,100.0,Maintain Current Level,HEALTHY
SKU0046,1187.0,318.0,7.0,1091.0,473.72,771.15,Decor,Wall Art,2019.1499999999999,504.78749999999997,63.2,Medium,16.5,Plan Reorder,514.0,25.5,11.76,Low,2.4,Monitor,0.0,505.0,101.0,606.0,0.0,514.0,396486.77,0.0,0.0,0.0,70.8,74.5,Plan Reorder,REORDER NOW
SKU0048,2850.0,0.0,17.0,1796.0,6297.15,12387.0,Lighting,Ceiling Lights,5.15,1.2875,0.0,Low,15495.1,Monitor,0.0,0.0,100.0,Critical,2213.6,URGENT - Markdown Required,2201.6,3.0,1.0,4.0,0.0,0.0,0.0,2840.0,17882016.85,5364605.06,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0049,61.0,0.0,3.0,29.0,3799.98,7681.0,Storage,Boxes,727.8499999999999,181.96249999999998,98.32,Critical,2.3,URGENT REORDER,667.0,91.6,1.68,Low,0.3,Monitor,0.0,78.0,16.0,94.0,40.0,667.0,5122074.85,0.0,0.0,0.0,8.0,8.4,URGENT REORDER,REORDER NOW
SKU0050,1009.0,152.0,4.0,546.0,7990.73,19954.98,Decor,Lighting,82.89999999999999,20.724999999999998,0.0,Low,340.8,Monitor,0.0,0.0,100.0,Critical,48.7,URGENT - Markdown Required,36.7,12.0,2.0,14.0,0.0,0.0,0.0,843.0,6737783.54,2021335.06,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0051,1013.0,0.0,12.0,844.0,3591.2,8810.23,Decor,Clocks,596.1,149.025,0.0,Low,47.6,Monitor,0.0,0.0,47.98,Medium,6.8,Review Stock,0.8,255.0,51.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5,100.0,Reduce Stock,MARKDOWN / CLEAR
SKU0052,2047.0,0.0,11.0,1779.0,736.62,1424.25,Decor,Wall Art,1463.6000000000001,365.90000000000003,0.0,Low,39.2,Monitor,0.0,0.0,35.94,Low,5.6,Monitor,1.6,575.0,115.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,100.0,Maintain Current Level,HEALTHY
SKU0053,2121.0,0.0,11.0,1048.0,2046.94,4855.28,Bath,Robes,533.05,133.2625,0.0,Low,111.4,Monitor,0.0,0.0,89.79,Critical,15.9,URGENT - Markdown Required,3.9,209.0,42.0,251.0,0.0,0.0,0.0,1055.0,2159317.01,647795.1,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0055,272.0,22.0,21.0,235.0,3263.78,6658.16,Kitchen,Storage Containers,45.0,11.25,0.0,Low,169.2,Monitor,0.0,0.0,100.0,Critical,24.2,URGENT - Markdown Required,12.2,34.0,7.0,40.0,0.0,0.0,0.0,182.0,594007.96,178202.39,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0056,751.0,0.0,9.0,646.0,1858.0,3601.63,Bath,Robes,824.35,206.0875,35.59,Low,25.5,Monitor,73.0,8.9,18.22,Low,3.6,Monitor,0.0,265.0,53.0,318.0,0.0,73.0,264179.56,0.0,0.0,0.0,86.5,91.1,Maintain Current Level,HEALTHY
SKU0057,516.0,888.0,13.0,538.0,51.6,88.15,Decor,Mirrors,1990.35,497.5875,69.19,Medium,7.3,Plan Reorder,586.0,29.5,5.19,Low,1.0,Monitor,0.0,924.0,185.0,1109.0,0.0,586.0,51686.75,0.0,0.0,0.0,67.0,70.5,Plan Reorder,REORDER NOW
SKU0058,2054.0,0.0,11.0,1035.0,6234.0,13668.9,Bath,Shower Curtains,1524.95,381.2375,0.0,Low,37.7,Monitor,0.0,0.0,33.88,Low,5.4,Monitor,1.4,599.0,120.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,100.0,Maintain Current Level,HEALTHY
SKU0059,752.0,66.0,13.0,483.0,295.52,512.38,Decor,Lighting,542.1,135.525,0.0,Low,38.8,Monitor,0.0,0.0,35.49,Low,5.5,Monitor,1.5,252.0,50.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,100.0,Maintain Current Level,HEALTHY
SKU0061,1136.0,1116.0,18.0,1203.0,3497.18,6546.56,Furniture,Chairs,106.8,26.7,0.0,Low,297.8,Monitor,0.0,0.0,100.0,Critical,42.5,URGENT - Markdown Required,30.5,69.0,14.0,82.0,0.0,0.0,0.0,922.0,3225798.83,967739.65,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0062,717.0,1130.0,9.0,758.0,489.29,843.69,Storage,Boxes,469.75,117.4375,0.0,Low,42.7,Monitor,0.0,0.0,41.05,Medium,6.1,Review Stock,0.1,151.0,30.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Reduce Stock,MARKDOWN / CLEAR
SKU0064,1740.0,0.0,13.0,970.0,404.32,583.53,Storage,Boxes,1084.05,271.0125,0.0,Low,44.9,Monitor,0.0,0.0,44.2,Medium,6.4,Review Stock,0.4,503.0,101.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,100.0,Reduce Stock,MARKDOWN / CLEAR
SKU0065,4432.0,426.0,28.0,3414.0,417.46,661.31,Furniture,Storage Units,128.9,32.225,0.0,Low,962.7,Monitor,0.0,0.0,100.0,Critical,137.5,URGENT - Markdown Required,125.5,129.0,26.0,155.0,0.0,0.0,0.0,4174.0,1742561.53,522768.46,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0066,958.0,0.0,11.0,664.0,347.01,541.13,Bath,Shower Curtains,83.69999999999999,20.924999999999997,0.0,Low,320.5,Monitor,0.0,0.0,100.0,Critical,45.8,URGENT - Markdown Required,33.8,33.0,7.0,39.0,0.0,0.0,0.0,791.0,274346.11,82303.83,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0067,1366.0,107.0,6.0,537.0,1462.22,2573.32,Bath,Towels,424.95,106.2375,0.0,Low,90.0,Monitor,0.0,0.0,82.14,Critical,12.9,URGENT - Markdown Required,0.9,91.0,18.0,109.0,0.0,0.0,0.0,516.0,754651.74,226395.52,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0070,1738.0,0.0,13.0,1609.0,2693.87,6545.18,Lighting,String Lights,793.5500000000001,198.38750000000002,0.0,Low,61.3,Monitor,0.0,0.0,63.8,High,8.8,Consider Markdown,0.8,368.0,74.0,442.0,0.0,0.0,0.0,151.0,406504.98,121951.49,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0072,1386.0,0.0,13.0,499.0,476.99,843.47,Bedding,Pillows,288.4,72.1,0.0,Low,134.6,Monitor,0.0,0.0,98.06,Critical,19.2,URGENT - Markdown Required,7.2,134.0,27.0,161.0,0.0,0.0,0.0,809.0,385980.31,115794.09,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0073,20.0,0.0,3.0,18.0,3855.71,8042.53,Unknown,Floor Lamps,165.6,41.4,97.58,Critical,3.4,URGENT REORDER,146.0,87.9,2.42,Low,0.5,Monitor,0.0,18.0,4.0,21.0,10.0,146.0,1170992.37,0.0,0.0,0.0,11.5,12.1,URGENT REORDER,REORDER NOW
SKU0074,1439.0,9.0,12.0,422.0,136.33,227.12,Storage,Shelves,68.55000000000001,17.137500000000003,0.0,Low,587.8,Monitor,0.0,0.0,100.0,Critical,84.0,URGENT - Markdown Required,72.0,29.0,6.0,35.0,0.0,0.0,0.0,1302.0,177488.03,53246.41,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0075,2089.0,0.0,10.0,594.0,3805.7,8309.96,Storage,Boxes,918.6,229.65,0.0,Low,63.7,Monitor,0.0,0.0,65.48,High,9.1,Consider Markdown,1.1,328.0,66.0,394.0,0.0,0.0,0.0,252.0,958275.26,287482.58,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0076,1119.0,111.0,17.0,838.0,243.45,397.31,Furniture,Chairs,512.6,128.15,0.0,Low,61.1,Monitor,0.0,0.0,63.66,High,8.7,Consider Markdown,0.7,311.0,62.0,373.0,0.0,0.0,0.0,94.0,22835.61,6850.68,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0077,1958.0,0.0,13.0,871.0,1513.44,2730.96,Lighting,String Lights,730.75,182.6875,0.0,Low,75.0,Monitor,0.0,0.0,73.59,High,10.7,Consider Markdown,2.7,339.0,68.0,407.0,0.0,0.0,0.0,496.0,751422.96,225426.89,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0078,1656.0,3424.0,20.0,1915.0,5983.12,13363.2,Kitchen,Cookware,876.25,219.0625,0.0,Low,52.9,Monitor,0.0,0.0,55.59,Medium,7.6,Review Stock,1.6,626.0,125.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Reduce Stock,MARKDOWN / CLEAR
SKU0079,603.0,16.0,3.0,290.0,836.96,1405.8,Decor,Wall Art,366.04999999999995,91.51249999999999,0.0,Low,46.1,Monitor,0.0,0.0,45.89,Medium,6.6,Review Stock,0.6,39.0,8.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5,100.0,Reduce Stock,MARKDOWN / CLEAR
SKU0080,3486.0,0.0,15.0,1657.0,1416.91,2702.61,Furniture,Sofas,56.150000000000006,14.037500000000001,0.0,Low,1738.3,Monitor,0.0,0.0,100.0,Critical,248.3,URGENT - Markdown Required,236.3,30.0,6.0,36.0,0.0,0.0,0.0,3374.0,4780229.27,1434068.78,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0081,4051.0,4196.0,24.0,4089.0,3166.61,7243.46,Rugs,Runner Rugs,1359.3000000000002,339.82500000000005,0.0,Low,83.4,Monitor,0.0,0.0,79.6,High,11.9,Consider Markdown,3.9,1165.0,233.0,1398.0,0.0,0.0,0.0,1332.0,4219191.16,1265757.35,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0082,1971.0,0.0,19.0,821.0,345.23,484.08,Rugs,Runner Rugs,811.4499999999999,202.86249999999998,0.0,Low,68.0,Monitor,0.0,0.0,68.58,High,9.7,Consider Markdown,1.7,551.0,110.0,661.0,0.0,0.0,0.0,348.0,120174.56,36052.37,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0083,444.0,0.0,7.0,363.0,411.85,691.23,Decor,Mirrors,597.5,149.375,63.54,Medium,20.8,Plan Reorder,154.0,25.7,14.86,Low,3.0,Monitor,0.0,149.0,30.0,179.0,0.0,154.0,106103.81,0.0,0.0,0.0,70.6,74.3,Plan Reorder,REORDER NOW
SKU0084,3656.0,0.0,21.0,2001.0,462.86,670.47,Rugs,Area Rugs,258.0,64.5,0.0,Low,396.8,Monitor,0.0,0.0,100.0,Critical,56.7,URGENT - Markdown Required,44.7,193.0,39.0,232.0,0.0,0.0,0.0,3140.0,1453380.4,436014.12,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0085,2069.0,0.0,9.0,559.0,7927.35,17573.49,Kitchen,Small Appliances,731.4499999999999,182.86249999999998,0.0,Low,79.2,Monitor,0.0,0.0,76.57,High,11.3,Consider Markdown,3.3,235.0,47.0,282.0,0.0,0.0,0.0,606.0,4804766.84,1441430.05,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0086,3137.0,0.0,20.0,1983.0,1745.85,3175.97,Rugs,Doormats,1916.55,479.1375,0.0,Low,45.8,Monitor,0.0,0.0,45.47,Medium,6.5,Review Stock,0.5,1369.0,274.0,1643.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2,100.0,Reduce Stock,MARKDOWN / CLEAR
SKU0087,1221.0,1349.0,20.0,1877.0,1627.67,3151.07,Kitchen,Small Appliances,545.75,136.4375,0.0,Low,62.6,Monitor,0.0,0.0,64.75,High,8.9,Consider Markdown,0.9,390.0,78.0,468.0,0.0,0.0,0.0,130.0,210783.27,63234.98,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0088,537.0,0.0,6.0,367.0,3435.48,7241.68,Bath,Robes,1379.1999999999998,344.79999999999995,92.21,Critical,10.9,URGENT REORDER,842.0,61.1,7.79,Low,1.6,Monitor,0.0,296.0,59.0,355.0,0.0,842.0,6098942.9,0.0,0.0,0.0,37.0,38.9,URGENT REORDER,REORDER NOW
SKU0089,732.0,34.0,14.0,467.0,979.56,1778.95,Bath,Shower Curtains,809.25,202.3125,21.38,Low,25.3,Monitor,43.0,5.3,18.09,Low,3.6,Monitor,0.0,405.0,81.0,486.0,0.0,43.0,76939.59,0.0,0.0,0.0,89.9,94.7,Maintain Current Level,HEALTHY
SKU0090,1098.0,41.0,8.0,891.0,1540.92,2900.9,Kitchen,Utensils,1084.15,271.0375,0.0,Low,28.4,Monitor,0.0,0.0,20.51,Low,4.1,Monitor,0.1,310.0,62.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3,100.0,Maintain Current Level,HEALTHY
SKU0091,1103.0,0.0,8.0,646.0,1313.92,2320.78,Decor,Mirrors,1586.05,396.5125,70.46,High,19.5,Reorder Now,483.0,30.5,13.91,Low,2.8,Monitor,0.0,453.0,91.0,544.0,0.0,483.0,1121052.78,0.0,0.0,0.0,66.1,69.5,Reorder Now,REORDER NOW
SKU0092,83.0,20.0,3.0,73.0,7676.37,13922.42,Bedding,Blankets,537.75,134.4375,96.17,Critical,4.3,URGENT REORDER,435.0,80.8,3.09,Low,0.6,Monitor,0.0,58.0,12.0,69.0,0.0,435.0,6052772.09,0.0,0.0,0.0,18.2,19.2,URGENT REORDER,REORDER NOW
SKU0094,606.0,115.0,9.0,546.0,172.82,275.52,Storage,Boxes,903.4000000000001,225.85000000000002,55.29,Medium,18.8,Plan Reorder,182.0,20.2,13.42,Low,2.7,Monitor,0.0,290.0,58.0,348.0,0.0,182.0,50254.85,0.0,0.0,0.0,75.8,79.8,Plan Reorder,REORDER NOW
SKU0095,931.0,0.0,7.0,778.0,6788.85,15661.39,Storage,Shelves,1227.3999999999999,306.84999999999997,61.22,Medium,21.2,Plan Reorder,296.0,24.1,15.17,Low,3.0,Monitor,0.0,307.0,61.0,368.0,0.0,296.0,4642036.0,0.0,0.0,0.0,72.1,75.9,Plan Reorder,REORDER NOW
SKU0096,1635.0,0.0,14.0,487.0,2161.8,4487.49,Rugs,Area Rugs,95.0,23.75,0.0,Low,481.9,Monitor,0.0,0.0,100.0,Critical,68.8,URGENT - Markdown Required,56.8,48.0,10.0,57.0,0.0,0.0,0.0,1445.0,3123801.0,937140.3,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0097,2056.0,127.0,14.0,849.0,703.55,1255.61,Furniture,Sofas,822.2,205.55,0.0,Low,70.0,Monitor,0.0,0.0,70.01,High,10.0,Consider Markdown,2.0,411.0,82.0,493.0,0.0,0.0,0.0,412.0,289581.18,86874.35,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0098,1127.0,131.0,19.0,673.0,817.49,1414.86,Furniture,Chairs,1215.1000000000001,303.77500000000003,0.0,Low,26.0,Monitor,0.0,0.0,18.55,Low,3.7,Monitor,0.0,825.0,165.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2,100.0,Maintain Current Level,HEALTHY
SKU0099,2939.0,0.0,10.0,1661.0,1752.37,3133.45,Storage,Shelves,120.35,30.0875,0.0,Low,683.8,Monitor,0.0,0.0,100.0,Critical,97.7,URGENT - Markdown Required,85.7,43.0,9.0,52.0,0.0,0.0,0.0,2698.0,4728419.97,1418525.99,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0100,2430.0,0.0,27.0,1259.0,2411.71,5957.17,Furniture,Chairs,740.5,185.125,0.0,Low,91.9,Monitor,0.0,0.0,82.82,Critical,13.1,URGENT - Markdown Required,1.1,714.0,143.0,857.0,0.0,0.0,0.0,949.0,2288712.79,686613.84,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0101,1720.0,0.0,19.0,1702.0,427.65,705.0,Furniture,Sofas,365.3,91.325,0.0,Low,131.8,Monitor,0.0,0.0,97.08,Critical,18.8,URGENT - Markdown Required,6.8,248.0,50.0,297.0,0.0,0.0,0.0,989.0,423116.91,126935.07,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
