sku_id,category,subcategory,overstock_risk_score,overstock_risk_level,weeks_of_inventory,on_hand_units,forecast_weekly_avg,excess_units,capital_locked,estimated_markdown_loss,recommendation
SKU0042,Rugs,Runner Rugs,81.43,Critical,12.6,4237.0,337.0625,1540.0,11929493.36,3578848.01,URGENT MARKDOWN
SKU0119,Lighting,String Lights,80.86,Critical,12.3,1455.0,117.86250000000001,512.0,526295.41,157888.62,URGENT MARKDOWN
SKU0081,Rugs,Runner Rugs,79.6,High,11.9,4051.0,339.82500000000005,1332.0,4219191.16,1265757.35,Consider Markdown
SKU0130,Storage,Shelves,76.8,High,11.4,1861.0,163.825,550.0,1299703.55,389911.07,Consider Markdown
SKU0085,Kitchen,Small Appliances,76.57,High,11.3,2069.0,182.86249999999998,606.0,4804766.84,1441430.05,Consider Markdown
SKU0159,Rugs,Area Rugs,74.7,High,10.9,2671.0,244.16250000000002,718.0,375371.45,112611.44,Consider Markdown
SKU0077,Lighting,String Lights,73.59,High,10.7,1958.0,182.6875,496.0,751422.96,225426.89,Consider Markdown
SKU0150,Bath,Robes,72.31,High,10.5,2425.0,231.8125,570.0,640808.42,192242.53,Consider Markdown
SKU0165,Lighting,Floor Lamps,71.17,High,10.2,616.0,60.1875,134.0,142873.97,42862.19,Consider Markdown
SKU0097,Furniture,Sofas,70.01,High,10.0,2056.0,205.55,412.0,289581.18,86874.35,Consider Markdown
SKU0082,Rugs,Runner Rugs,68.58,High,9.7,1971.0,202.86249999999998,348.0,120174.56,36052.37,Consider Markdown
SKU0157,Storage,Cabinets,67.17,High,9.4,390.0,41.3375,59.0,467575.16,140272.55,Consider Markdown
SKU0075,Storage,Boxes,65.48,High,9.1,2089.0,229.65,252.0,958275.26,287482.58,Consider Markdown
SKU0019,Kitchen,Utensils,64.87,High,9.0,767.0,85.475,83.0,116031.55,34809.47,Consider Markdown
SKU0087,Kitchen,Small Appliances,64.75,High,8.9,1221.0,136.4375,130.0,210783.27,63234.98,Consider Markdown
SKU0070,Lighting,String Lights,63.8,High,8.8,1738.0,198.38750000000002,151.0,406504.98,121951.49,Consider Markdown
SKU0076,Furniture,Chairs,63.66,High,8.7,1119.0,128.15,94.0,22835.61,6850.68,Consider Markdown
SKU0156,Storage,Boxes,63.21,High,8.6,1038.0,120.1,77.0,14913.5,4474.05,Consider Markdown
SKU0020,Rugs,Doormats,63.21,High,8.6,2657.0,307.47499999999997,197.0,1412874.9,423862.47,Consider Markdown
SKU0007,Bath,Towels,62.88,High,8.6,1460.0,170.2375,98.0,269672.98,80901.89,Consider Markdown
SKU0134,Rugs,Area Rugs,61.61,High,8.3,3665.0,440.45000000000005,141.0,65858.46,19757.54,Consider Markdown
SKU0002,Decor,Clocks,57.02,Medium,7.7,1918.0,249.0375,0.0,0.0,0.0,Reduce Stock
SKU0005,Kitchen,Small Appliances,56.09,Medium,7.6,3234.0,425.0125,0.0,0.0,0.0,Reduce Stock
SKU0078,Kitchen,Cookware,55.59,Medium,7.6,1656.0,219.0625,0.0,0.0,0.0,Reduce Stock
SKU0175,Kitchen,Cookware,53.19,Medium,7.3,976.0,133.35000000000002,0.0,0.0,0.0,Reduce Stock
SKU0125,Bath,Accessories,52.24,Medium,7.2,136.0,18.825,0.0,0.0,0.0,Reduce Stock
SKU0051,Decor,Clocks,47.98,Medium,6.8,1013.0,149.025,0.0,0.0,0.0,Reduce Stock
SKU0079,Decor,Wall Art,45.89,Medium,6.6,603.0,91.51249999999999,0.0,0.0,0.0,Reduce Stock
SKU0086,Rugs,Doormats,45.47,Medium,6.5,3137.0,479.1375,0.0,0.0,0.0,Reduce Stock
SKU0145,Storage,Baskets,44.95,Medium,6.5,1026.0,157.9625,0.0,0.0,0.0,Reduce Stock
SKU0064,Storage,Boxes,44.2,Medium,6.4,1740.0,271.0125,0.0,0.0,0.0,Reduce Stock
SKU0103,Rugs,Doormats,43.46,Medium,6.3,1300.0,204.86249999999998,0.0,0.0,0.0,Reduce Stock
SKU0151,Rugs,Area Rugs,43.14,Medium,6.3,1976.0,312.975,0.0,0.0,0.0,Reduce Stock
SKU0062,Storage,Boxes,41.05,Medium,6.1,717.0,117.4375,0.0,0.0,0.0,Reduce Stock
SKU0004,Bedding,Blankets,40.5,Medium,6.0,1200.0,198.3625,0.0,0.0,0.0,Reduce Stock
SKU0187,Rugs,Runner Rugs,40.35,Medium,6.0,1260.0,208.775,0.0,0.0,0.0,Reduce Stock
